# Time-averaged data for fix energy_output
# TimeStep c_pe_all c_ke_all
10 606.933 10.0316
20 606.695 10.4859
30 606.321 11.1956
40 605.861 12.0884
50 605.445 13.0312
60 605.215 13.8706
70 605.201 14.529
80 605.341 15.0122
90 605.521 15.3876
100 605.578 15.7903
110 605.344 16.386
120 604.731 17.2833
130 603.759 18.4869
140 602.553 19.8897
150 601.296 21.322
160 600.168 22.6032
170 599.288 23.6415
180 598.707 24.4202
190 598.388 24.9778
200 598.258 25.3801
210 598.251 25.6823
220 598.305 25.9438
230 598.348 26.2281
240 598.339 26.5693
250 598.315 26.9333
260 598.331 27.2667
270 598.397 27.5433
280 598.401 27.8571
290 598.118 28.3766
300 597.404 29.2679
310 596.391 30.4051
320 595.356 31.525
330 594.425 32.5278
340 593.611 33.4207
350 593.007 34.1217
360 592.985 34.264
370 593.864 33.5249
380 595.518 32.0162
390 597.22 30.442
400 597.991 29.7992
410 597.453 30.4431
420 596.063 31.8977
430 594.724 33.2562
440 593.849 34.1104
450 593.416 34.4955
460 593.424 34.4332
470 593.826 34.0004
480 594.603 33.2156
490 595.433 32.3819
500 595.681 32.1301
510 595.002 32.8038
520 593.796 34.019
530 592.866 34.9867
540 592.643 35.3046
550 593.154 34.9497
560 594.058 34.2303
570 594.599 33.8259
580 594.368 34.0697
590 593.305 35.0272
600 591.888 36.3144
610 590.682 37.3899
620 590.19 37.7556
630 590.645 37.217
640 591.548 36.2609
650 592.245 35.5319
660 592.265 35.4947
670 591.616 36.1345
680 590.722 37.0258
690 590.222 37.5336
700 590.473 37.2851
710 591.276 36.5036
720 592.2 35.6201
730 592.809 35.0731
740 592.936 35.0569
750 592.548 35.5858
760 591.946 36.3268
770 591.383 36.9513
780 591.035 37.2242
790 590.948 37.141
800 591.261 36.6766
810 591.872 35.9777
820 592.298 35.5403
830 592.267 35.6117
840 591.614 36.2895
850 590.653 37.2372
860 590.091 37.7829
870 590.14 37.7279
880 590.609 37.2484
890 591.291 36.5624
900 591.843 36.0207
910 592.135 35.7706
920 592.176 35.8275
930 592.051 36.1242
940 592.092 36.3493
950 592.266 36.4918
960 592.475 36.5747
970 592.707 36.5799
980 593.169 36.2604
990 593.743 35.7085
1000 594.039 35.3604
