# Time-averaged data for fix rdf_output
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
100 100
1 0.035 0 0
2 0.105 0 0
3 0.175 0 0
4 0.245 0 0
5 0.315 0 0
6 0.385 0 0
7 0.455 0 0
8 0.525 0 0
9 0.595 0 0
10 0.665 0 0
11 0.735 0 0
12 0.805 0 0
13 0.875 0 0
14 0.945 0 0
15 1.015 0 0
16 1.085 0 0
17 1.155 0 0
18 1.225 0 0
19 1.295 0 0
20 1.365 0 0
21 1.435 0 0
22 1.505 0 0
23 1.575 0 0
24 1.645 0 0
25 1.715 0 0
26 1.785 0 0
27 1.855 0 0
28 1.925 0 0
29 1.995 0 0
30 2.065 0 0
31 2.135 0 0
32 2.205 0 0
33 2.275 0 0
34 2.345 0 0
35 2.415 0 0
36 2.485 0 0
37 2.555 0 0
38 2.625 0 0
39 2.695 0 0
40 2.765 0.0127288 0.00234375
41 2.835 0.024216 0.00703125
42 2.905 0.0538138 0.0179687
43 2.975 0.0916274 0.0375
44 3.045 0.206413 0.0835937
45 3.115 0.320934 0.158594
46 3.185 0.454079 0.269531
47 3.255 0.630707 0.430469
48 3.325 0.962396 0.686719
49 3.395 1.1933 1.01797
50 3.465 1.66163 1.49844
51 3.535 2.46609 2.24063
52 3.605 3.52444 3.34375
53 3.675 6.69884 5.52266
54 3.745 6.96424 7.875
55 3.815 3.6174 9.14297
56 3.885 2.40285 10.0164
57 3.955 1.61137 10.6234
58 4.025 1.08326 11.0461
59 4.095 0.731228 11.3414
60 4.165 0.514247 11.5563
61 4.235 0.32918 11.6984
62 4.305 0.220543 11.7969
63 4.375 0.171173 11.8758
64 4.445 0.136271 11.9406
65 4.515 0.0986613 11.9891
66 4.585 0.0941287 12.0367
67 4.655 0.103295 12.0906
68 4.725 0.124959 12.1578
69 4.795 0.156609 12.2445
70 4.865 0.232999 12.3773
71 4.935 0.283712 12.5437
72 5.005 0.39756 12.7836
73 5.075 0.576854 13.1414
74 5.145 0.835769 13.6742
75 5.215 1.62697 14.7398
76 5.285 1.73978 15.9102
77 5.355 0.976258 16.5844
78 5.425 0.628273 17.0297
79 5.495 0.426509 17.3398
80 5.565 0.31529 17.575
81 5.635 0.246208 17.7633
82 5.705 0.216283 17.9328
83 5.775 0.21399 18.1047
84 5.845 0.242128 18.3039
85 5.915 0.339348 18.5898
86 5.985 0.437414 18.9672
87 6.055 0.620246 19.5148
88 6.125 0.829241 20.2641
89 6.195 1.13096 21.3094
90 6.265 1.58932 22.8117
91 6.335 2.42252 25.1531
92 6.405 4.47325 29.5727
93 6.475 4.53644 34.1531
94 6.545 2.393 36.6219
95 6.615 1.60129 38.3094
96 6.685 1.09682 39.4898
97 6.755 0.737231 40.3
98 6.825 0.557831 40.9258
99 6.895 0.451033 41.4422
100 6.965 0.369124 41.8734
200 100
1 0.035 0 0
2 0.105 0 0
3 0.175 0 0
4 0.245 0 0
5 0.315 0 0
6 0.385 0 0
7 0.455 0 0
8 0.525 0 0
9 0.595 0 0
10 0.665 0 0
11 0.735 0 0
12 0.805 0 0
13 0.875 0 0
14 0.945 0 0
15 1.015 0 0
16 1.085 0 0
17 1.155 0 0
18 1.225 0 0
19 1.295 0 0
20 1.365 0 0
21 1.435 0 0
22 1.505 0 0
23 1.575 0 0
24 1.645 0 0
25 1.715 0 0
26 1.785 0 0
27 1.855 0 0
28 1.925 0 0
29 1.995 0 0
30 2.065 0 0
31 2.135 0 0
32 2.205 0 0
33 2.275 0 0
34 2.345 0 0
35 2.415 0 0
36 2.485 0 0
37 2.555 0 0
38 2.625 0.0141226 0.00234375
39 2.695 0.022331 0.00625
40 2.765 0.0636439 0.0179687
41 2.835 0.310772 0.078125
42 2.905 0.695736 0.219531
43 2.975 1.53567 0.546875
44 3.045 2.00816 0.995313
45 3.115 2.14959 1.49766
46 3.185 2.36952 2.07656
47 3.255 2.34219 2.67422
48 3.325 2.33557 3.29609
49 3.395 2.229 3.91484
50 3.465 1.99665 4.49219
51 3.535 1.88462 5.05938
52 3.605 1.68983 5.58828
53 3.675 1.75337 6.15859
54 3.745 1.52654 6.67422
55 3.815 1.34176 7.14453
56 3.885 1.35832 7.63828
57 3.955 1.26504 8.11484
58 4.025 1.08526 8.53828
59 4.095 1.01559 8.94844
60 4.165 1.00979 9.37031
61 4.235 0.907959 9.7625
62 4.305 0.871671 10.1516
63 4.375 0.867728 10.5516
64 4.445 0.735537 10.9016
65 4.515 0.695403 11.243
66 4.585 0.658901 11.5766
67 4.655 0.606299 11.893
68 4.725 0.645135 12.2398
69 4.795 0.636313 12.5922
70 4.865 0.618134 12.9445
71 4.935 0.642014 13.3211
72 5.005 0.620297 13.6953
73 5.075 0.625974 14.0836
74 5.145 0.661752 14.5055
75 5.215 0.727602 14.982
76 5.285 0.835049 15.5437
77 5.355 0.781686 16.0836
78 5.425 0.694407 16.5758
79 5.495 0.784261 17.1461
80 5.565 0.923872 17.8352
81 5.635 0.926602 18.5437
82 5.705 1.00168 19.3289
83 5.775 0.968789 20.107
84 5.845 1.15082 21.0539
85 5.915 1.20626 22.0703
86 5.985 1.10938 23.0273
87 6.055 1.12812 24.0234
88 6.125 1.15782 25.0695
89 6.195 1.2848 26.257
90 6.265 1.29262 27.4789
91 6.335 1.17853 28.618
92 6.405 1.14658 29.7508
93 6.475 1.21245 30.975
94 6.545 1.16242 32.1742
95 6.615 1.16167 33.3984
96 6.685 1.23474 34.7273
97 6.755 1.22279 36.0711
98 6.825 1.12263 37.3305
99 6.895 1.13202 38.6266
100 6.965 1.11473 39.9289
300 100
1 0.035 0 0
2 0.105 0 0
3 0.175 0 0
4 0.245 0 0
5 0.315 0 0
6 0.385 0 0
7 0.455 0 0
8 0.525 0 0
9 0.595 0 0
10 0.665 0 0
11 0.735 0 0
12 0.805 0 0
13 0.875 0 0
14 0.945 0 0
15 1.015 0 0
16 1.085 0 0
17 1.155 0 0
18 1.225 0 0
19 1.295 0 0
20 1.365 0 0
21 1.435 0 0
22 1.505 0 0
23 1.575 0 0
24 1.645 0 0
25 1.715 0 0
26 1.785 0 0
27 1.855 0 0
28 1.925 0 0
29 1.995 0 0
30 2.065 0 0
31 2.135 0 0
32 2.205 0 0
33 2.275 0 0
34 2.345 0 0
35 2.415 0 0
36 2.485 0.00525288 0.00078125
37 2.555 0.014907 0.003125
38 2.625 0.0800283 0.0164063
39 2.695 0.330498 0.0742188
40 2.765 0.530366 0.171875
41 2.835 1.06147 0.377344
42 2.905 1.46066 0.674219
43 2.975 1.98648 1.09766
44 3.045 2.77783 1.71797
45 3.115 2.7012 2.34922
46 3.185 2.74046 3.01875
47 3.255 2.67591 3.70156
48 3.325 2.36785 4.33203
49 3.395 2.03762 4.89766
50 3.465 1.78321 5.41328
51 3.535 1.60426 5.89609
52 3.605 1.31043 6.30625
53 3.675 1.28981 6.72578
54 3.745 1.13796 7.11016
55 3.815 0.960628 7.44688
56 3.885 0.780175 7.73047
57 3.955 0.819166 8.03906
58 4.025 0.834973 8.36484
59 4.095 0.878247 8.71953
60 4.165 0.865805 9.08125
61 4.235 0.794012 9.42422
62 4.305 0.724642 9.74766
63 4.375 0.621985 10.0344
64 4.445 0.668222 10.3523
65 4.515 0.746325 10.7188
66 4.585 0.799322 11.1234
67 4.655 0.78744 11.5344
68 4.725 0.752657 11.9391
69 4.795 0.692749 12.3227
70 4.865 0.834686 12.7984
71 4.935 0.824495 13.282
72 5.005 0.801594 13.7656
73 5.075 0.855204 14.2961
74 5.145 0.894591 14.8664
75 5.215 0.926798 15.4734
76 5.285 1.05688 16.1844
77 5.355 1.11993 16.9578
