################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   3.4765833789233966E-02   8.1158827352699608E-02   5.4041379584593027E-02   5.1725181701542293E-03
         1          2   4.9204491926243588E+00   5.9205087025945060E+00   5.4380262499382832E+00   8.8289656004735761E-02
         1          3   4.8337109999710250E+00   5.8246843120822422E+00   5.3506044829570012E+00   8.7461550440364605E-02
         1          4   4.2067406523855402E+00   5.1546726001159877E+00   4.6915496343881946E+00   8.0291986323663481E-02
         1          5   3.2686200880953993E+00   3.9782153200823012E+00   3.6043651178811733E+00   6.6999557019833220E-02
         1          6   2.8804382952175005E+00   3.4501716720596289E+00   3.1429200134666262E+00   5.9956517084430519E-02
         1          7   2.7597523968703142E+00   3.2990616014542091E+00   3.0123057217535529E+00   5.7680911895996147E-02
         1          8   2.6398258180433714E+00   3.1512261643606942E+00   2.8848203568165660E+00   5.5335061731956847E-02
         1          9   2.5200219621514259E+00   3.0044365744721544E+00   2.7583718688886885E+00   5.2891689273767792E-02
         1         10   2.3429410075540265E+00   2.7854782497562196E+00   2.5696939246315442E+00   4.9050479219989805E-02
         1         11   2.2283439221533019E+00   2.6421973946803470E+00   2.4460039000773923E+00   4.6423566927101458E-02
         1         12   1.7888048412661948E+00   2.0967372458003553E+00   1.9623265586784926E+00   3.5646901335370004E-02
         1         13   1.5810397921110326E+00   1.8489352985928806E+00   1.7344490958416290E+00   3.0500829560850960E-02
         1         14   1.3769405666346570E+00   1.6107342870762742E+00   1.5156663469629164E+00   2.5663646777227250E-02
         1         15   1.2342926988706573E+00   1.4444911712191113E+00   1.3604501311992387E+00   2.2348513870132678E-02
         1         16   1.0587815134946275E+00   1.2432284174387636E+00   1.1672579403654639E+00   1.8416465601562768E-02
         1         17   9.3700103436098015E-01   1.1014832829055878E+00   1.0320223094714398E+00   1.5824249880225374E-02
         1         18   8.2440248428978369E-01   9.6900520065243656E-01   9.0631671232156519E-01   1.3553936450370457E-02
         1         19   7.5480312489996704E-01   8.8653756677362860E-01   8.2837790700634462E-01   1.2220306156804406E-02
         1         20   6.8821817563406151E-01   8.0729505003219482E-01   7.5370007357325641E-01   1.0998678515689021E-02
         1         21   6.2229273750886979E-12   2.8576070260651011E-04   2.2962256139353586E-07   3.0458659680656189E-06
         1         22   2.7065093753856374E-11   6.2455412529373322E-04   6.0292711189041942E-07   6.9162720644586019E-06
         1         23   6.7817212086443977E-04   7.2905277048426909E-01   3.2521417240527484E-02   3.8519233945083949E-02
         1         24   1.9596581245250231E+00   6.1534331962177919E+00   4.0363139424906018E+00   5.2236217019050402E-01
         1         25   3.0353356486485728E-02   2.3623466909759099E+00   4.3144386346072988E-01   2.4704044969913574E-01
         1         26   2.4864646766612205E-02   1.3984221498631821E+00   5.8939007388287989E-01   1.7366240882816397E-01
         1         27   1.8290347881339711E-01   3.2770490753399334E-01   2.4671001300313550E-01   1.4641620743376792E-02
         1         28   2.4087030343984428E-01   8.7547310088454111E-01   4.0113670808745938E-01   5.2723461556750999E-02
         1         29   3.5735640727247324E-02   1.5771361912901388E-01   5.7927419895274314E-02   8.6288785070383362E-03
         1         30   6.2480563135583981E-03   3.9506623788974661E-02   1.0963002690231165E-02   2.0322527849780639E-03
         1         31   1.5159131559754778E-02   8.1099613111395671E-02   2.3664623967280949E-02   4.2112795676955729E-03
         1         32   1.1943541270944007E-02   8.1450551740475066E-02   2.0954992254683277E-02   4.7650280440645560E-03
         1         33   1.3286906591993143E-02   8.3198963533346326E-02   3.3546101939935097E-02   6.6590421104709739E-03
         1         34   2.4936882099066780E-03   7.9304209723418135E-03   4.8942671484018046E-03   5.9459556953898667E-04
         1         35   3.1099247514599831E-02   7.1081953008218013E-02   5.0556544103089275E-02   4.5754003282808499E-03
         1         36   1.6372097038049437E-03   3.4973750584082119E-03   2.5574093074217093E-03   1.9840213112729398E-04
         1         37   1.1100512925042112E-02   2.1090181689820235E-02   1.7094537787444412E-02   9.7115688261912800E-04
         1         38   4.4875983978430413E-04   9.2950168196127500E-04   7.2644447194061704E-04   4.0363455348557803E-05
         1         39   3.3224489835750755E-03   6.0242798829517928E-03   4.8469745309179290E-03   2.2767050728987739E-04
         1         40   1.4513654824853885E-03   2.5331528095334272E-03   1.9540594729266962E-03   9.7308282402217304E-05
         1         41   4.9637272970527659E-04   9.8458476794900207E-04   6.7095350541907179E-04   4.2644040180270244E-05
         1         42   7.5583384130832704E-05   2.0856496210740059E-04   1.1719297424944655E-04   1.1839463653565809E-05
         1         43   4.7766663287411808E-05   1.3895935844654859E-04   7.6514173217985345E-05   8.2577417095439207E-06
         1         44   8.6480094043057960E+00   1.0526613370205226E+01   9.4958557911647450E+00   2.0910434520095739E-01
         1         45   4.5344514973638735E-02   6.3013235842924245E-02   5.4204129707032193E-02   1.6901926288508205E-03
