################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1          1   9.1700000000000003E-06   8.3899999999999993E-06  -1.8070000000000001E-05  -5.0467243834471931E-07  -5.0467243843492493E-07  -5.0467243886340163E-07
         1          2  -2.6000000000000000E-07  -4.6000000000000000E-06   6.3700000000000000E-06  -5.0467261511043943E-07  -5.0467261425695548E-07  -2.7568715409501121E-07
         1          3   1.8199999999999999E-06   1.3300000000000000E-06   1.5639999999999999E-05  -5.0467268953441335E-07  -5.0467268972870238E-07  -1.6589205135253011E-06
         1          4  -5.4299999999999997E-06  -2.8300000000000000E-06   7.9999999999999996E-07  -5.0467261495171223E-07  -2.7568715259707749E-07  -5.0467261556233489E-07
         1          5  -1.4550000000000000E-05  -6.4999999999999996E-06   3.4800000000000001E-06  -5.0467279015444649E-07  -2.7568722352731834E-07  -2.7568722447794680E-07
         1          6   1.6050000000000000E-05   1.9720000000000001E-05  -2.6900000000000001E-06  -5.0467286566435732E-07  -2.7568724806498190E-07  -1.6589210329919907E-06
         1          7   4.9999999999999998E-07   1.3329999999999999E-05  -4.2300000000000002E-06  -5.0467269071922949E-07  -1.6589205142575683E-06  -5.0467269045555152E-07
         1          8  -1.5060000000000000E-05  -1.0370000000000001E-05   9.9100000000000000E-06  -5.0467286558282531E-07  -1.6589210339989363E-06  -2.7568724910234654E-07
         1          9   4.7700000000000001E-06   6.5799999999999997E-06  -8.3000000000000002E-06  -5.0467294254730177E-07  -1.6589213197859554E-06  -1.6589213188750288E-06
         1         10   1.0560000000000001E-05   1.1830000000000000E-05  -5.2900000000000002E-06  -2.7568715362663587E-07  -5.0467261444864242E-07  -5.0467261571672528E-07
         1         11  -1.1939999999999999E-05   2.8200000000000001E-06   1.1470000000000000E-05  -2.7568722456555034E-07  -5.0467279054736136E-07  -2.7568722427498416E-07
         1         12  -4.1799999999999998E-06   2.8300000000000000E-06  -1.2699999999999999E-06  -2.7568724874499351E-07  -5.0467286463046213E-07  -1.6589210329387166E-06
