################################################################################
# Sensitivity analysis for element Ar.
################################################################################
# Col  Name          Description
################################################################################
# 1    index         Symmetry function index.
# 2    sens_msa_norm Mean square average sensitivity (normalized, sum = 100%).
# 3    sens_max_norm Maximum sensitivity (normalized, sum = 100%).
# 4    sens_msa_phys Mean square average sensitivity (physical energy units).
# 5    sens_max_phys Maximum sensitivity (physical energy units).
################################################################################
#        1                2                3                4                5
#    index    sens_msa_norm    sens_max_norm    sens_msa_phys    sens_max_phys
##############################################################################
         1   4.95072286E+01   4.85149364E+01   6.77565960E+00   7.04980176E+00
         2   8.56556029E-01   9.12111405E-01   1.17229993E-01   1.32540720E-01
         3   7.65933432E-01   8.27441240E-01   1.04827201E-01   1.20237130E-01
         4   4.21330557E+00   4.14820673E+00   5.76641535E-01   6.02784159E-01
         5   1.98906989E+00   2.01396869E+00   2.72228134E-01   2.92653790E-01
         6   2.00323842E+00   2.02117274E+00   2.74167269E-01   2.93700624E-01
         7   1.61525934E+00   1.63911700E+00   2.21067666E-01   2.38183347E-01
         8   1.05675998E+00   1.10414005E+00   1.44630312E-01   1.60444783E-01
         9   4.97516348E-01   5.47109834E-01   6.80910952E-02   7.95016165E-02
        10   4.57264048E-01   4.83630257E-01   6.25820840E-02   7.02772732E-02
        11   1.09416411E+00   1.09116251E+00   1.49749516E-01   1.58558992E-01
        12   2.61271215E+00   2.56314523E+00   3.57581078E-01   3.72455724E-01
        13   2.80146649E+00   2.73683637E+00   3.83414379E-01   3.97695129E-01
        14   2.01029525E+00   1.96578759E+00   2.75133080E-01   2.85652499E-01
        15   1.35951971E+00   1.32533888E+00   1.86066621E-01   1.92587625E-01
        16   2.67671609E-01   2.97721568E-01   3.66340786E-02   4.32625124E-02
        17   7.19041015E-01   7.17809324E-01   9.84094100E-02   1.04306298E-01
        18   1.89058512E+00   1.86570365E+00   2.58749310E-01   2.71109104E-01
        19   2.70091029E+00   2.65834279E+00   3.69652053E-01   3.86289070E-01
        20   3.62023316E+00   3.56238446E+00   4.95472444E-01   5.17657161E-01
        21   4.21483407E-03   2.30675638E-02   5.76850729E-04   3.35199351E-03
        22   5.49238516E-01   5.38011992E-01   7.51698960E-02   7.81795911E-02
        23   2.73904388E-01   6.51454787E-01   3.74871094E-02   9.46641889E-02
        24   5.10576561E-02   7.82989372E-02   6.98785425E-03   1.13777741E-02
        25   5.75983751E-02   8.64353027E-02   7.88303030E-03   1.25600855E-02
        26   7.13551597E-03   4.90504478E-02   9.76581171E-04   7.12761799E-03
        27   5.07593073E-01   7.71147852E-01   6.94702163E-02   1.12057026E-01
        28   4.10188643E-01   7.48558764E-01   5.61392486E-02   1.08774561E-01
        29   2.24108163E+00   2.21230755E+00   3.06718972E-01   3.21474804E-01
        30   2.37723751E+00   2.32853977E+00   3.25353541E-01   3.38364739E-01
        31   4.39168648E+00   4.31563120E+00   6.01055109E-01   6.27112941E-01
        32   4.59263858E-01   4.98159017E-01   6.28557820E-02   7.23884762E-02
        33   5.50662618E-01   5.48879388E-01   7.53648014E-02   7.97587540E-02
        34   2.53481948E-01   2.52126451E-01   3.46920529E-02   3.66369953E-02
        35   1.14323063E+00   1.13178408E+00   1.56464860E-01   1.64461793E-01
        36   1.39255896E-01   1.39781530E-01   1.90588440E-02   2.03119317E-02
        37   1.25660660E+00   1.23473026E+00   1.71981725E-01   1.79421107E-01
        38   3.85411473E-01   3.79807536E-01   5.27481950E-02   5.51905874E-02
        39   4.68377679E-01   4.59435445E-01   6.41031180E-02   6.67614770E-02
        40   1.04246031E-01   1.03539839E-01   1.42673230E-02   1.50455797E-02
        41   3.09853394E-01   3.05087892E-01   4.24071632E-02   4.43329275E-02
        42   4.20437500E-02   4.87241958E-02   5.75419280E-03   7.08020967E-03
        43   1.74523075E-01   1.76558430E-01   2.38855816E-02   2.56560561E-02
        44   1.06729781E+00   1.20518912E+00   1.46072540E-01   1.75128425E-01
        45   7.36078030E-01   7.17625965E-01   1.00741130E-01   1.04279654E-01
