################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4897645661028420E+00 a         1     0     1     1     1
  2.0202025206462988E+00 a         2     0     1     1     2
 -1.5524343285621839E+01 a         3     0     1     1     3
 -1.6190453584512937E+01 a         4     0     1     1     4
 -1.6617171968260919E+01 a         5     0     1     1     5
  1.0174059627317929E+01 a         6     0     1     1     6
 -1.4763129203723679E+00 a         7     0     1     1     7
 -2.5255062923065106E+00 a         8     0     1     1     8
 -4.5135589692314948E-01 a         9     0     1     1     9
 -9.3000230192791644E+00 a        10     0     1     1    10
  3.0970078654773054E+00 a        11     0     1     1    11
 -1.8969360989169484E+01 a        12     0     1     1    12
  2.8289815763279467E+01 a        13     0     1     1    13
  1.8751995757497024E+01 a        14     0     1     1    14
 -3.0152442310762250E+01 a        15     0     1     1    15
 -3.6172431221726384E+01 a        16     0     1     1    16
  9.3172948240597400E+00 a        17     0     1     1    17
 -1.5134614482773124E+01 a        18     0     1     1    18
 -3.1733566732314773E+00 a        19     0     1     1    19
  6.4316704788656418E+00 a        20     0     1     1    20
 -1.7182093064445634E+00 a        21     0     2     1     1
  7.1334905696784268E-01 a        22     0     2     1     2
  1.7749919064486339E+00 a        23     0     2     1     3
  1.2034986069951310E+00 a        24     0     2     1     4
  1.9217077178148221E+00 a        25     0     2     1     5
  1.1928745013191158E-01 a        26     0     2     1     6
  2.8457525210766443E-01 a        27     0     2     1     7
 -1.1402691679241743E+00 a        28     0     2     1     8
  2.9797397664390594E-02 a        29     0     2     1     9
 -7.8397142420677579E-01 a        30     0     2     1    10
 -1.2291670053066286E+00 a        31     0     2     1    11
  9.9873777466144875E-01 a        32     0     2     1    12
 -2.7371403887774841E+00 a        33     0     2     1    13
 -1.3500843789650123E+00 a        34     0     2     1    14
 -1.4955898774840268E+00 a        35     0     2     1    15
 -8.8093674478035766E-01 a        36     0     2     1    16
 -7.3555781061822367E-01 a        37     0     2     1    17
  2.8080700300545045E+00 a        38     0     2     1    18
 -9.6100828458983234E-01 a        39     0     2     1    19
  3.1638735614599878E-01 a        40     0     2     1    20
 -1.9168218717699153E+00 a        41     0     3     1     1
  1.2001557892853205E+00 a        42     0     3     1     2
  1.2140483793160681E+00 a        43     0     3     1     3
  9.3636880231178399E-01 a        44     0     3     1     4
  1.8906567009122235E+00 a        45     0     3     1     5
  5.6691804068247920E-01 a        46     0     3     1     6
  1.7044693922318488E-01 a        47     0     3     1     7
 -8.4344219513183061E-01 a        48     0     3     1     8
 -2.7732034499096314E-01 a        49     0     3     1     9
 -1.3180124147931849E+00 a        50     0     3     1    10
 -1.1542514572812967E+00 a        51     0     3     1    11
  3.2623368736804126E-01 a        52     0     3     1    12
 -1.4603166126800660E+00 a        53     0     3     1    13
 -2.5498481458104710E-01 a        54     0     3     1    14
 -2.7751917667566639E+00 a        55     0     3     1    15
 -1.1788265867726206E+00 a        56     0     3     1    16
  5.5274970671271149E-02 a        57     0     3     1    17
  2.5996799718383881E+00 a        58     0     3     1    18
 -1.1750739032350448E+00 a        59     0     3     1    19
  6.6431383892116513E-01 a        60     0     3     1    20
 -2.2369257092942805E+00 a        61     0     4     1     1
